-1,1
1,1
1,-1
-1,-1
-0.9,-1
-0.8,-1
-0.7,-1
-0.6,-1
-0.5,-1
-0.4,-1
-0.3,-1
-0.2,-1
-0.1,-1
0,-1
0.1,-1
0.2,-1
0.3,-1
0.4,-1
0.5,-1
0.6,-1
0.7,-1
0.8,-1
0.9,-1
-1,0.9
-1,0.8
-1,0.7
-1,0.6
-1,0.5
-1,0.4
-1,0.3
-1,0.2
-1,0.1
-1,0
-1,-0.1
-1,-0.2
-1,-0.3
-1,-0.4
-1,-0.5
-1,-0.6
-1,-0.7
-1,-0.8
-1,-0.9
0.9,1
0.8,1
0.7,1
0.6,1
0.5,1
0.4,1
0.3,1
0.2,1
0.1,1
0,1
-0.1,1
-0.2,1
-0.3,1
-0.4,1
-0.5,1
-0.6,1
-0.7,1
-0.8,1
-0.9,1
1,-0.9
1,-0.8
1,-0.7
1,-0.6
1,-0.5
1,-0.4
1,-0.3
1,-0.2
1,-0.1
1,0
1,0.1
1,0.2
1,0.3
1,0.4
1,0.5
1,0.6
1,0.7
1,0.8
1,0.9
0.03411,-0.038409
0.048702,0.050331
-0.053726,-0.051081
0.14578,0.22022
0.9317,0.9317
0.84993,0.91776
0.91835,0.84913
0.75346,0.91075
0.91009,0.7528
0.65127,0.9129
0.91103,0.65117
0.55,0.9134
0.91226,0.55027
0.45,0.9134
0.9134,0.45
0.35,0.9134
0.9134,0.35
0.25,0.9134
0.9134,0.25
0.15,0.9134
0.9134,0.15
0.05,0.9134
0.9134,0.05
-0.05,0.9134
0.9134,-0.05
-0.15,0.9134
0.9134,-0.15
-0.25,0.9134
0.9134,-0.25
-0.35,0.9134
0.9134,-0.35
-0.45,0.9134
0.9134,-0.45
-0.55068,0.91285
0.91283,-0.55066
-0.6515,0.9124
0.91232,-0.65145
-0.75321,0.91066
0.91039,-0.75324
-0.84913,0.91835
0.91776,-0.84993
-0.9317,0.9317
0.9317,-0.9317
-0.91776,0.84993
0.84913,-0.91835
-0.90994,0.75282
0.75252,-0.90985
-0.91083,0.65102
0.65089,-0.91067
-0.91208,0.55015
0.55015,-0.91198
-0.9134,0.45
0.45,-0.9134
-0.9134,0.35
0.35,-0.9134
-0.9134,0.25
0.25,-0.9134
-0.9134,0.15
0.15,-0.9134
-0.9134,0.05
0.05,-0.9134
-0.9134,-0.05
-0.05,-0.9134
-0.9134,-0.15
-0.15,-0.9134
-0.9134,-0.25
-0.25,-0.9134
-0.9134,-0.35
-0.35,-0.9134
-0.9134,-0.45
-0.45,-0.9134
-0.9134,-0.55
-0.55037,-0.91233
-0.91259,-0.65129
-0.6511,-0.91078
-0.91066,-0.75314
-0.75281,-0.90989
-0.91835,-0.84913
-0.84993,-0.91776
-0.9317,-0.9317
0.81555,0.81555
0.70337,0.82658
0.82217,0.70237
0.60185,0.82563
0.82213,0.60117
0.5,0.82679
0.82606,0.49948
0.4,0.82679
0.82679,0.4
0.3,0.82679
0.82679,0.3
0.2,0.82679
0.82679,0.2
0.1,0.82679
0.82679,0.1
0,0.82679
0.82679,-5.5511e-17
-0.1,0.82679
0.82679,-0.1
-0.2,0.82679
0.82679,-0.2
-0.3,0.82679
