480,464,462
465,441,467
475,453,455
451,449,423
457,433,459
132,28,29
475,455,457
476,456,454
138,31,32
478,462,460
450,452,424
477,459,461
478,460,476
101,72,73
484,450,448
468,442,466
479,461,463
471,449,451
471,451,473
446,448,420
470,448,446
469,445,444
485,468,466
460,462,436
474,476,454
104,52,53
478,480,462
483,467,469
477,461,479
483,469,468
483,465,467
100,50,51
481,463,465
476,458,456
136,30,31
476,460,458
118,59,60
126,25,26
472,452,450
473,451,453
481,479,463
470,446,447
475,457,459
488,477,479
105,70,71
141,14,15
482,466,464
483,481,465
482,464,480
160,42,4
472,474,452
112,56,57
490,479,481
490,488,479
140,32,33
147,11,12
489,476,474
149,10,11
489,478,476
489,480,478
489,491,480
491,482,480
123,3,62
475,473,453
116,58,59
124,25,126
488,473,475
160,4,5
488,475,477
485,483,468
159,5,6
485,466,482
128,26,27
128,126,26
484,448,470
84,449,471
154,39,40
487,474,472
154,152,39
157,6,7
491,492,482
486,471,473
486,473,488
492,481,483
492,483,485
492,490,481
492,485,482
91,77,78
484,472,450
83,490,492
83,494,490
494,488,490
493,484,84
494,486,488
493,471,486
493,472,484
146,35,36
489,474,487
83,81,494
91,93,77
99,73,74
98,49,50
98,50,100
99,74,97
493,487,472
146,36,148
123,23,3
121,62,63
89,78,79
88,44,45
82,487,493
133,18,19
81,491,489
82,493,486
81,489,487
89,91,78
156,40,41
157,7,155
82,486,494
125,22,23
106,53,54
97,74,75
82,494,81
82,81,487
116,114,58
141,15,139
96,48,49
133,135,18
114,57,58
130,27,28
135,17,18
119,63,64
113,66,67
139,15,16
119,64,117
133,19,131
152,38,39
136,134,30
83,492,491
134,29,30
95,75,76
155,7,8
87,79,80
87,80,85
95,76,93
86,43,44
127,21,22
131,19,20
83,491,81
84,471,493
470,84,484
122,61,1
153,8,9
86,85,43
148,36,37
127,22,125
111,67,68
106,54,108
140,33,142
144,34,35
149,11,147
105,107,70
192,118,120
107,69,70
134,132,29
136,31,138
137,16,17
103,71,72
103,72,101
145,12,13
192,120,124
120,60,61
143,13,14
144,142,34
102,51,52
102,52,104
129,20,21
113,67,111
102,100,51
109,68,69
85,2,43
85,80,2
150,37,38
158,41,42
108,54,55
112,57,114
115,65,66
117,64,65
158,42,160
159,160,5
94,47,48
96,49,98
151,9,10
153,9,151
93,76,77
99,101,73
155,8,153
150,148,37
218,150,152
219,153,151
174,100,102
109,69,107
159,6,157
156,154,40
137,17,135
105,71,103
218,152,220
221,155,153
121,123,62
123,125,23
109,111,68
137,139,16
174,102,176
175,103,101
95,97,75
92,46,47
204,136,138
110,55,56
143,14,141
142,33,34
130,128,27
110,56,112
115,66,113
115,117,65
92,47,94
88,86,44
145,147,12
140,138,32
207,141,139
149,151,10
179,107,105
207,139,205
203,137,135
179,105,177
110,108,55
178,104,106
90,45,46
90,88,45
87,89,79
96,94,48
203,135,201
221,153,219
183,111,109
121,125,123
145,13,143
144,35,146
156,41,158
159,158,160
185,113,111
106,104,53
180,106,108
180,108,182
120,118,60
124,24,25
201,135,133
199,133,131
178,106,180
177,105,103
220,152,154
223,157,155
169,97,95
173,101,99
206,138,140
206,140,208
205,139,137
173,175,101
129,21,127
121,63,119
223,155,221
224,159,157
150,38,152
224,157,223
181,109,107
129,131,20
116,59,118
192,124,126
174,172,100
171,99,97
168,94,96
168,96,170
201,133,199
185,187,113
169,95,167
167,95,93
130,28,132
190,116,118
194,126,128
198,130,132
